"Fecha
diaria"	Cierre venta

31/12/2019	18.8860
02/01/2020	18.8570
03/01/2020	18.9250
06/01/2020	18.8680
07/01/2020	18.8750
08/01/2020	18.8000
09/01/2020	18.8520
10/01/2020	18.7810
13/01/2020	18.7970
14/01/2020	18.7840
15/01/2020	18.8080
16/01/2020	18.8020
17/01/2020	18.7040
20/01/2020	18.6670
21/01/2020	18.7530
22/01/2020	18.6690
23/01/2020	18.7620
24/01/2020	18.8360
27/01/2020	18.8910
28/01/2020	18.7470
29/01/2020	18.6900
30/01/2020	18.8370
31/01/2020	18.8660
04/02/2020	18.6990
05/02/2020	18.6070
06/02/2020	18.6540
07/02/2020	18.7880
10/02/2020	18.7330
11/02/2020	18.6740
12/02/2020	18.6230
13/02/2020	18.6240
14/02/2020	18.5520
17/02/2020	18.5620
18/02/2020	18.5840
19/02/2020	18.5680
20/02/2020	18.8190
21/02/2020	18.8640
24/02/2020	19.0700
25/02/2020	19.1630
26/02/2020	19.2040
27/02/2020	19.3790
28/02/2020	19.8610
02/03/2020	19.5050
03/03/2020	19.3920
04/03/2020	19.5390
05/03/2020	19.9200
06/03/2020	20.1100
09/03/2020	21.1790
10/03/2020	20.7780
11/03/2020	21.3790
12/03/2020	21.6470
13/03/2020	21.9760
17/03/2020	23.1680
18/03/2020	23.9300
19/03/2020	24.4240
20/03/2020	24.2480
23/03/2020	25.1350
24/03/2020	24.9760
25/03/2020	23.9880
26/03/2020	23.1820
27/03/2020	23.3250
30/03/2020	24.1290
31/03/2020	23.7980
01/04/2020	24.4140
02/04/2020	24.3490
03/04/2020	24.7380
06/04/2020	24.7830
07/04/2020	24.1100
08/04/2020	24.0100
13/04/2020	23.6950
14/04/2020	23.5350
15/04/2020	23.9860
16/04/2020	24.2370
17/04/2020	23.8670
20/04/2020	24.1500
21/04/2020	24.3280
22/04/2020	24.5530
23/04/2020	24.6830
24/04/2020	25.1300
27/04/2020	24.8620
28/04/2020	24.2820
29/04/2020	23.8700
30/04/2020	24.0610
04/05/2020	24.1730
05/05/2020	23.8820
06/05/2020	24.2690
07/05/2020	24.0250
08/05/2020	23.7690
11/05/2020	23.9270
12/05/2020	24.1800
13/05/2020	24.3260
14/05/2020	24.0680
15/05/2020	24.0130
18/05/2020	23.7350
19/05/2020	23.5230
20/05/2020	23.1890
21/05/2020	22.8640
22/05/2020	22.7660
25/05/2020	22.6260
26/05/2020	22.2490
27/05/2020	22.3410
28/05/2020	22.1690
29/05/2020	22.2240
01/06/2020	22.0770
02/06/2020	21.7510
03/06/2020	21.7980
04/06/2020	21.8860
05/06/2020	21.6250
08/06/2020	21.6120
09/06/2020	21.8780
10/06/2020	21.7460
11/06/2020	22.6320
12/06/2020	22.4150
15/06/2020	22.1730
16/06/2020	22.2440
17/06/2020	22.2720
18/06/2020	22.7270
19/06/2020	22.6450
22/06/2020	22.4540
23/06/2020	22.4370
24/06/2020	22.7320
25/06/2020	22.7610
26/06/2020	22.9800
29/06/2020	23.1110
30/06/2020	22.9570
01/07/2020	22.7930
02/07/2020	22.4750
03/07/2020	22.4230
06/07/2020	22.3350
07/07/2020	22.6830
08/07/2020	22.7500
09/07/2020	22.6420
10/07/2020	22.4820
13/07/2020	22.5490
14/07/2020	22.4440
15/07/2020	22.3440
16/07/2020	22.3870
17/07/2020	22.5340
20/07/2020	22.5120
21/07/2020	22.3010
22/07/2020	22.3240
23/07/2020	22.4800
24/07/2020	22.2770
27/07/2020	21.9930
28/07/2020	21.9450
29/07/2020	22.0120
30/07/2020	22.0800
31/07/2020	22.2100
03/08/2020	22.6250
04/08/2020	22.8290
05/08/2020	22.3700
06/08/2020	22.3960
07/08/2020	22.3970
10/08/2020	22.4820
11/08/2020	22.3370
12/08/2020	22.3390
13/08/2020	22.2300
14/08/2020	22.0270
17/08/2020	22.1180
18/08/2020	22.1810
19/08/2020	22.0520
20/08/2020	22.1600
21/08/2020	21.9860
24/08/2020	22.0200
25/08/2020	21.9800
26/08/2020	21.9580
27/08/2020	22.1060
28/08/2020	21.8060
31/08/2020	21.9040
01/09/2020	21.7680
02/09/2020	21.7630
03/09/2020	21.7050
04/09/2020	21.5320
07/09/2020	21.6290
08/09/2020	21.7190
09/09/2020	21.4500
10/09/2020	21.4560
11/09/2020	21.2930
14/09/2020	21.0890
