Date (GMT)	Open	High	Low	Last
15/09/2015	95.302	95.677	95.125	95.611
16/09/2015	95.573	95.845	95.161	95.42
17/09/2015	95.309	95.387	94.36	94.55
18/09/2015	94.568	95.383	94.063	94.863
21/09/2015	95.365	95.978	95.039	95.894
22/09/2015	95.923	96.404	95.759	96.283
23/09/2015	96.307	96.548	96.024	96.068
24/09/2015	96.235	96.69	95.458	96.69
25/09/2015	96.239	96.7	96.117	96.269
28/09/2015	96.288	96.501	95.901	96.034
29/09/2015	96.021	96.237	95.708	95.855
30/09/2015	95.908	96.413	95.852	96.35
01/10/2015	96.267	96.49	95.966	96.185
02/10/2015	96.136	96.379	95.218	95.83
05/10/2015	95.838	96.169	95.451	96.106
06/10/2015	96.052	96.164	95.398	95.455
07/10/2015	95.472	95.698	95.327	95.497
08/10/2015	95.567	95.614	94.984	95.318
09/10/2015	95.227	95.34	94.692	94.813
12/10/2015	94.863	94.903	94.619	94.841
13/10/2015	94.897	94.982	94.539	94.759
14/10/2015	94.762	94.759	93.845	93.931
15/10/2015	93.951	94.589	93.806	94.371
16/10/2015	94.471	94.771	94.369	94.54
19/10/2015	94.669	95	94.552	94.928
20/10/2015	94.93	94.952	94.594	94.913
21/10/2015	94.848	95.077	94.722	95.035
22/10/2015	95.038	96.537	94.943	96.378
23/10/2015	96.401	97.201	96.148	97.127
26/10/2015	97.147	97.147	96.679	96.861
27/10/2015	96.798	96.969	96.583	96.906
28/10/2015	96.948	97.818	96.466	97.782
29/10/2015	97.609	97.689	97.19	97.282
30/10/2015	97.192	97.353	96.577	96.946
02/11/2015	96.686	96.965	96.635	96.928
03/11/2015	96.898	97.483	96.77	97.158
04/11/2015	97.196	98.054	97.174	97.95
05/11/2015	97.937	98.135	97.751	97.936
06/11/2015	97.947	99.345	97.893	99.168
09/11/2015	99.272	99.272	98.818	98.979
10/11/2015	99.008	99.504	98.942	99.293
11/11/2015	99.098	99.238	98.778	99.013
12/11/2015	98.823	99.288	98.432	98.649
13/11/2015	98.568	99.214	98.528	98.998
16/11/2015	98.998	99.46	98.868	99.442
17/11/2015	99.397	99.745	99.358	99.631
18/11/2015	99.65	99.853	99.311	99.652
19/11/2015	99.413	99.477	98.735	98.989
20/11/2015	99.087	99.646	98.999	99.565
23/11/2015	99.655	100	99.531	99.803
24/11/2015	99.678	99.785	99.466	99.527
25/11/2015	99.563	100.17	99.312	99.795
26/11/2015	99.739	99.907	99.714	99.795
27/11/2015	99.859	100.2	99.656	100.02
30/11/2015	100.08	100.31	100.05	100.17
01/12/2015	100.23	100.26	99.719	99.795
02/12/2015	99.832	100.51	99.803	99.993
03/12/2015	100.01	100.47	97.591	97.621
04/12/2015	97.828	98.609	97.754	98.354
07/12/2015	98.381	98.903	98.301	98.655
08/12/2015	98.732	98.763	98.332	98.474
09/12/2015	98.446	98.521	97.223	97.345
10/12/2015	97.407	97.988	97.36	97.939
11/12/2015	97.979	98.095	97.329	97.565
14/12/2015	97.605	97.932	97.275	97.604
15/12/2015	97.643	98.292	97.19	98.217
16/12/2015	98.189	98.601	97.655	97.871
17/12/2015	98.555	99.294	98.528	99.27
18/12/2015	99.023	99.182	98.636	98.703
21/12/2015	98.682	98.838	98.294	98.363
22/12/2015	98.457	98.508	98	98.235
23/12/2015	98.214	98.604	98.185	98.341
24/12/2015	98.331	98.378	97.864	97.984
28/12/2015	97.951	98.032	97.811	97.919
29/12/2015	97.903	98.413	97.799	98.101
30/12/2015	98.207	98.409	98.113	98.266
31/12/2015	98.218	98.778	98.178	98.631
04/01/2016	98.587	99.182	98.049	98.869
05/01/2016	98.872	99.634	98.747	99.404
06/01/2016	99.39	99.577	99.108	99.181
07/01/2016	99.211	99.297	98.169	98.219
08/01/2016	98.302	99.183	98.265	98.54
11/01/2016	98.413	98.895	98.252	98.725
12/01/2016	98.796	99.276	98.573	98.974
13/01/2016	99.033	99.333	98.861	98.933
14/01/2016	98.82	99.257	98.59	99.089
15/01/2016	99.104	99.121	98.378	98.956
18/01/2016	98.8	99.2	98.8	98.956
19/01/2016	99.124	99.31	98.864	98.991
20/01/2016	99.023	99.185	98.626	99.091
21/01/2016	99.192	99.799	98.909	99.056
22/01/2016	99.183	99.592	99.113	99.574
25/01/2016	99.521	99.547	99.231	99.36
26/01/2016	99.296	99.455	98.996	99.36
27/01/2016	99.024	99.163	98.711	98.902
28/01/2016	98.884	99.105	98.425	98.51
29/01/2016	98.647	99.829	98.576	99.606
01/02/2016	99.546	99.633	98.93	99.009
02/02/2016	98.991	99.086	98.751	98.872
03/02/2016	98.829	98.938	96.885	97.288
04/02/2016	97.29	97.465	96.259	96.474
05/02/2016	96.555	97.265	96.316	97.031
08/02/2016	97.057	97.476	96.542	96.57
09/02/2016	96.726	96.825	95.663	96.071
10/02/2016	96.06	96.72	95.756	95.888
11/02/2016	95.889	95.9	95.236	95.562
12/02/2016	95.504	96.215	95.456	95.94
15/02/2016	96.081	96.884	95.94	95.982
